company,headline,exhibitorDescription,connectionMadeBy,exhibitorEmail,exhibitorUrl,exhibitorPhone
株式会社アウトソーシングテクノロジー,,, PROTRUDE: D,y-ema@ostechnology.co.jp,https://protrude.com,
新日本印刷 株式会社,「WONDERLINE」は変化の激しい現代のビジネスシーンに対応するオンライン展示会プラットフォームです。すべての営業活動がオンラインで完結できるので、自席でもテレワークでも、ひとりで展示会営業が可能に。オンラインならではの没入体験を味わえる「360°バーチャルツアー」とあわせてご紹介。BtoBに長けた新日本印刷の営業チームがあらゆるお客様の課題にお応えします。,弊社は名古屋市の本社を中心に、東京・大阪に展開する総合印刷会社です。創業58年の経験豊富な印刷会社ならではの確かな品質と細やかな対応で、カタログ・パンフレット・Webサイト・動画・CGなど幅広い媒体を、企画から納品までワンストップで制作しています。「WONDERLINE」は BtoBの販促物を数多く手がけてきた中でいただいたお客様の声から開発したオリジナルのオンライン展示会プラットフォームです。IT化にとどまらず、オンラインを活用したビジネスチャンス拡大に貢献します。, 新日本印刷株式会社,kikaku@s-pri.co.jp,https://www.s-pri.co.jp/,05052114723
株式会社divx,,AI技術を活用したソフトウェア開発およびソリューション提供, 大畑桃夏,info@divx.co.jp,https://www.divx.co.jp/,
SBクリエイティブ株式会社,社内のDX推進について「何から始めたらよいのか悩んでいる」「これから検討する」のであれば、「ITパスポート」資格への取り組みをお勧め致します。社員のITスキルやリテラシー向上の最短ルートとして、業界・業種問わず数多くの法人様が推進しています。SBクリエイティブでは、60万人以上が読んだ売上ナンバーワンのITパスポート試験本をはじめ、IT教育に役立つ書籍を多種多用に取り揃えております。,"SBクリエイティブは、ソフトバンクのグループ企業として長年に渡って書籍を刊行しており、全国の企業や法人様で、社員教育・研修の教科書・テキストとしてご利用頂いている書籍を数多く出版しております。
特に、PC/IT書は、出版社別売上ランキング1位と多くの読者に支持頂いております。パソコンやスマホの入門書、ExcelやWordといったOfficeアプリの活用書から、プログラミング・Webデザイン・ネットワーク・資格試験対策などプロフェッショナル向けの専門書まで、様々な読者ニーズに対応できる幅広いラインナップを誇ります。特に「Python」「Java」「C」といった言語別のプログラミング解説書は、途中...", 渡邊凌,ordersbp@cr.softbank.co.jp,https://www.sbcr.jp/,03-5549-1206
ピセ 株式会社,"弊社は1992年の創業以来、システム（基幹・業務・Web）構築、Web／DTPデザイン、ネットワーク／インフラ構築、運用保守／教育サポートをワンストップで提供と運用し、豊富なノウハウを蓄積しながらあらゆる視点から企業の成長を 支え続けています。
この経験に基づくコンサルテーションからの企画・提案、そして設計・導入まで、ワンストップでソリューションを提供させていただきます。","システム、インフラ、スマートフォンアプリ開発、Web・デザイン、セキュリティ、教育サポート、
において、生産性の効率化に努め、連携して多種多様なニーズに的確に対応しています。
また、国内の4拠点に加え、パートナー企業様との連携により効率的な生産体制を実現しております。", ピセ株式会社,katayama-k@pise.co.jp,https://www.pise.co.jp/,0354026930
株式会社 テイ・デイ・エス,業務システムやアプリ、WEBサービス等のデジタルプロダクトの開発や改善をUX/UIデザインで支援します。「使いやすいUIデザイン」の根拠として、多数の実績をもとにしたノウハウやUXアプローチ（ユーザーリサーチ、レビュー、プロトタイピング、UXライティング等）のメソッドを活用します。その他、座学やワークショップによるUXの社内教育等も課題感に合わせて支援します。,テイ・デイ・エスは、創業45年目を迎えるデザイン・ファームです。 約120名の社員の9割はクリエイターで構成、 「Strategic design and Creative logic―デザインに戦略性を、ロジックに創造性を」を スローガンに掲げ、デザインの力でお客様の課題解決に貢献する企業です。 これまで数々の大型プロジェクトに取り組んだプロジェクト遂行力、45年分のデザインメソッド、サービス開発や課題発掘といった上流工程からの伴走力を武器に、エンドユーザーへのブランド体験をクライアントと共創しながら適切に企画・設計します。, 草場裕貴,takase@tds-g.co.jp,https://www.tds-g.co.jp/,
株式会社 VIETISソリューション,,, VietIS Solution,linhnt@vietis.com.vn,,080 9706 6023
株式会社 ユーザーローカル,"世界200,000サイト以上に提供実績をもち、ユーザーローカルが開発した、マルチデバイス・アクセス解析ツール「ユーザーインサイト」とソーシャルメディア解析ツール「ソーシャルインサイト」をご紹介致します。多くの企業様にご導入いただいております実績から、成功事例についてもお話できればと存じます。また、ご活用いただいております企業様の活用事例動画も流しておりますので、ご覧ください。",株式会社ユーザーローカルは、高機能なアクセス解析ツール ユーザーインサイト(User Insight)や、クチコミ分析に対応したソーシャルメディア解析ツール ソーシャルインサイト(Social Insight)、ニュースサイトなどメディア運営に特化した記事コンテンツ分析ツール メディアインサイト（Media Insight）、働き方改革を推進するソリューションであるサポートチャットボット(Support Chatbot)を開発している、ビッグデータ・人工知能分野のベンチャー企業です。, 杉本紗矢,ul-event@userlocal.jp,https://www.userlocal.jp/,
株式会社 ZEALS,"「AIマーケティング革命を通じて最高のおもてなし体験を世界中に届ける」
ジールスは「コミュニケーションAI」に着目し、接客体験をデジタル化する「AIマーケティング革命」に挑戦しています。
チャットを基軸としてフルファネルマーケティングを実現するために、生成AIを活用し「コンバージョン」・「LTV」を最大化するソリューションを提供しています。","【チャットコマース事業　チャットコマース®️「ジールス」】
チャットコマースとは、ユーザーがAIチャットボットと会話しながらLINEやInstagramなどのチャットアプリ上で商品購入やサービス予約ができるソリューションのことを指します。チャットコマース®️「ジールス」は、コスメ・サロン・食品・金融・人材・不動産・自動車などエンタープライズ企業を中心に450社以上の企業様に導入頂いています。", 和智一真,kazuma.wachi@zeals.co.jp,https://zeals.co.jp/,
SATORI 株式会社,"「SATORI」は”見込み顧客を増やす”、匿名ナーチャリングに強みを持ったマーケティングオートメーション（MA）ツールです。
個人情報を取得できている”実名”状態の見込み顧客はもちろん、自社のウェブサイトに訪問している名前のわからない”匿名”状態の見込み顧客データも管理・活用することが可能です。 
ぜひ、弊社ブースへお立ち寄りいただき、実際の画面をご確認ください。",当社SATORI株式会社は、「あなたのマーケティング活動を一歩先へ」をミッションに掲げ、一人ひとりのマーケティング担当者の成果に向けて、一緒に歩いていくことを目指し、マーケティングオートメーションツール「SATORI」の開発・運用・導入支援を行っています。, 堀康佑,marketing@satori.team,https://satori.marketing/,03-6455-0500
